0,3,5,10,6,10,25,24,21,1,6,9,12,20,23,18,13
24,0,12,27,30,7,22,21,18,25,23,26,22,17,20,15,10
25,1,0,28,31,8,23,22,19,26,24,27,23,18,21,16,11
11,7,6,0,5,14,29,28,25,10,4,7,3,24,27,22,17
25,2,1,14,0,9,24,23,20,5,10,13,16,19,22,17,12
17,6,5,20,23,0,15,14,11,18,16,19,15,10,13,8,3
11,14,16,21,17,21,0,8,5,12,17,20,17,7,10,10,5
3,6,8,13,9,13,28,0,7,4,9,12,15,23,26,21,16
6,9,11,16,12,16,31,3,0,7,12,15,18,26,29,24,19
20,7,6,9,5,14,29,28,25,0,5,8,11,24,27,22,17
15,11,10,4,9,18,33,32,29,14,0,3,6,28,31,26,21
12,8,7,1,6,15,30,29,26,11,4,0,3,25,28,23,18
16,12,11,5,10,19,34,33,30,15,1,4,0,29,32,27,22
8,11,13,18,14,18,14,5,12,9,14,17,15,0,3,8,3
22,25,27,32,28,32,11,19,16,23,28,31,28,18,0,21,16
18,19,18,12,17,26,7,15,12,19,8,11,7,14,17,0,12
15,18,20,17,21,25,12,12,17,16,13,16,12,7,10,5,0
